snapshot,timestamp_unix_ns,elapsed_ms
1,1776397488691197785,7
2,1776397488722062284,38
3,1776397488751483857,68
4,1776397488781195557,97
5,1776397488811280551,127
6,1776397488842037216,158
7,1776397488873939681,190
8,1776397488904932014,221
9,1776397488938174862,254
10,1776397488971519545,288
11,1776397489002051500,318
12,1776397489031427698,347
13,1776397489060814854,377
14,1776397489090572846,407
15,1776397489120442380,436
16,1776397489149788244,466
17,1776397489179525360,496
18,1776397489208756057,525
19,1776397489240690063,557
20,1776397489270070761,586
21,1776397489298976788,615
22,1776397489328791739,645
23,1776397489357953518,674
24,1776397489386844296,703
25,1776397489415400946,731
26,1776397489445311939,761
27,1776397489475678768,792
28,1776397489504851131,821
29,1776397489533765242,850
30,1776397489562692562,879
31,1776397489591973050,908
32,1776397489620402325,936
33,1776397489649535604,966
34,1776397489678779134,995
35,1776397489709229547,1025
36,1776397489738739454,1055
37,1776397489767277062,1083
