snapshot,timestamp_unix_ns,elapsed_ms
1,1776397772994910244,7
2,1776397773026303700,39
3,1776397773055095306,67
4,1776397773085582424,98
5,1776397773116494002,129
6,1776397773147184537,159
7,1776397773178117116,190
8,1776397773211546919,224
9,1776397773240911696,253
10,1776397773270002471,282
11,1776397773299147662,311
12,1776397773328084394,340
13,1776397773357142502,369
14,1776397773385660148,398
15,1776397773414648339,427
16,1776397773443640655,456
17,1776397773473375392,486
18,1776397773503220838,515
19,1776397773533666122,546
20,1776397773564568825,577
21,1776397773593513266,606
22,1776397773622689750,635
23,1776397773651590481,664
24,1776397773683410691,696
25,1776397773715776237,728
26,1776397773746737274,759
27,1776397773778015063,790
28,1776397773809635563,822
29,1776397773840298306,853
30,1776397773870154670,882
31,1776397773905167108,917
32,1776397773934811137,947
33,1776397773963112323,975
34,1776397773992161222,1004
35,1776397774021107121,1033
36,1776397774049938394,1062
37,1776397774078916835,1091
38,1776397774107640816,1120
39,1776397774139808027,1152
